Dato,Tid,Rom,Emnekode,Beskrivelse,Lærer
2020-08-17,13:15-15:00,,BED-2056-1,Forelesninger TromsøForelesning Zoom,Ø. Myrland
2020-08-24,13:15-15:00,,BED-2056-1,Forelesninger TromsøForelesning Zoom,Ø. Myrland
2020-08-31,13:15-15:00,,BED-2056-1,Forelesninger TromsøForelesning Zoom,Ø. Myrland
2020-09-07,13:15-15:00,,BED-2056-1,Forelesninger TromsøForelesning Zoom,Ø. Myrland
2020-09-14,13:15-15:00,,BED-2056-1,Forelesninger TromsøForelesning Zoom,Ø. Myrland
2020-09-21,13:15-15:00,,BED-2056-1,Forelesninger TromsøForelesning Zoom,Ø. Myrland
2020-09-28,13:15-15:00,,BED-2056-1,Forelesninger TromsøForelesning Zoom,Ø. Myrland
2020-10-05,13:15-15:00,,BED-2056-1,Forelesninger TromsøForelesning Zoom,Ø. Myrland
2020-10-12,13:15-15:00,,BED-2056-1,Forelesninger TromsøForelesning Zoom,Ø. Myrland
2020-10-19,13:15-15:00,,BED-2056-1,Forelesninger TromsøForelesning Zoom,Ø. Myrland
2020-10-26,13:15-15:00,,BED-2056-1,Forelesninger TromsøForelesning Zoom,Ø. Myrland
2020-11-02,13:15-15:00,,BED-2056-1,Forelesninger TromsøForelesning Zoom,Ø. Myrland
2020-11-09,13:15-15:00,,BED-2056-1,Forelesninger TromsøForelesning Zoom,Ø. Myrland
2020-11-16,13:15-15:00,,BED-2056-1,Forelesninger TromsøForelesning Zoom,Ø. Myrland
